timestamp,step,total_reward,accuracy_delta,constraint_alignment,schema_alignment,outlier_targeting,anti_hack,shaped_reward_total,difficulty,model_label,parse_success_rate,parse_recovered_rate,invalid_action_rate,avg_structural_penalty,dominant_tool,dominant_tool_rate,violation_type,note
2026-04-26T02:44:58.701328,0,1.925,0.0,0.0,0.0,0.0,0.0,2.5,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,1.0,clean,columns renamed from training run; shaped_reward_total = sum of all shaped signals
2026-04-26T02:45:59.014591,5,4.7,0.0,0.0,0.0,0.0,0.0,4.075,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.542,null_numeric,
2026-04-26T02:46:54.071181,10,1.95,0.0,0.0,0.0,0.0,0.0,2.5,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.542,clean,
2026-04-26T02:47:47.526601,15,4.6125,1.25,0.0,0.0,0.0,0.0,4.0125,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.792,type_error,
2026-04-26T02:48:41.326066,20,3.45,0.0,0.0,0.0,0.0,0.0,4.45,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.542,null_categorical,
2026-04-26T02:49:34.328235,25,5.5667,1.6667,0.0,0.0,0.0,0.0,4.4,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.667,type_error,
2026-04-26T02:50:29.192093,30,6.95,0.0,0.0,0.0,0.0,0.0,4.45,1,Qwen 2.5 1.5B (speed mode),0.95,0.0,0.05,-0.0275,3,0.75,type_error,
2026-04-26T02:51:24.654257,35,2.8542,0.4167,0.0,0.0,0.0,0.0,2.9375,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.75,clean,
2026-04-26T02:52:19.369051,40,0.2717,-0.8333,0.0,0.0,0.0,0.0,1.83,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.833,clean,
2026-04-26T02:53:13.509262,45,3.0233,0.8333,0.0,0.0,0.0,0.0,1.84,1,Qwen 2.5 1.5B (speed mode),0.95,0.05,0.0,0.01,3,0.792,null_numeric,
2026-04-26T02:54:07.973829,50,4.7117,0.4167,0.0,0.0,0.0,0.0,4.045,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.625,null_categorical,
2026-04-26T02:55:02.614206,55,0.5583,-0.4167,0.0,0.0,0.0,0.0,1.25,2,Qwen 2.5 1.5B (speed mode),0.95,0.0,0.0,0.01,3,0.708,clean,
2026-04-26T02:55:56.321123,60,4.7417,0.4167,0.0,0.0,0.0,0.0,4.075,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.583,null_numeric,
2026-04-26T02:56:49.029628,65,4.1875,0.0,0.0,0.0,0.0,0.0,2.5125,1,Qwen 2.5 1.5B (speed mode),0.95,0.05,0.0,0.01,1,0.458,clean,
2026-04-26T02:57:43.046551,70,4.375,0.0,0.0,0.0,0.0,0.0,4.025,1,Qwen 2.5 1.5B (speed mode),0.95,0.05,0.0,0.01,1,0.542,null_categorical,
2026-04-26T02:58:35.965324,75,0.4958,-0.4167,0.0,0.0,0.0,0.0,1.5625,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.542,clean,
2026-04-26T02:59:28.016856,80,4.95,0.0,0.0,0.0,0.0,0.0,4.45,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,1,0.458,null_categorical,
2026-04-26T03:00:21.268886,85,5.0417,-0.5208,0.0,0.0,0.0,0.0,3.6375,1,Qwen 2.5 1.5B (speed mode),0.95,0.0,0.0,0.01,3,0.5,type_error,
2026-04-26T03:01:16.227624,90,2.4125,0.0,0.0,0.0,0.0,0.0,2.9125,1,Qwen 2.5 1.5B (speed mode),0.95,0.05,0.05,0.01,3,0.667,clean,
2026-04-26T03:02:09.503798,95,6.25,0.0,0.0,0.0,0.0,0.0,4.45,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.708,enum_violation,
2026-04-26T03:03:03.189232,100,-0.1202,-0.5208,0.0,0.0,0.0,0.0,0.7506,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.833,,
2026-04-26T03:03:57.298352,105,5.16,0.0,0.0,0.0,0.0,0.0,4.3133,1,Qwen 2.5 1.5B (speed mode),0.95,0.0,0.05,0.01,3,0.75,type_error,
2026-04-26T03:04:50.721433,110,3.95,0.0,0.0,0.0,0.0,0.0,2.95,1,Qwen 2.5 1.5B (speed mode),0.95,0.0,0.0,0.01,3,0.5,null_numeric,
2026-04-26T03:05:44.627386,115,2.3569,0.0,0.0,0.0,0.0,0.0,2.8319,1,Qwen 2.5 1.5B (speed mode),0.95,0.0,0.0,0.01,3,0.792,clean,
2026-04-26T03:06:38.818348,120,6.89,0.0,0.0,0.0,0.0,0.0,4.39,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.75,type_error,
2026-04-26T03:07:32.443022,125,2.7373,-0.8333,0.0,0.0,0.0,0.0,3.3206,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.833,type_error,
2026-04-26T03:08:26.217524,130,0.2583,-0.4167,0.0,0.0,0.0,0.0,1.2,1,Qwen 2.5 1.5B (speed mode),0.95,0.0,0.0,0.01,3,0.542,clean,
2026-04-26T03:09:21.260965,135,0.9208,-0.4167,0.0,0.0,0.0,0.0,2.1375,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.667,clean,
2026-04-26T03:10:14.802230,140,3.6458,-0.4167,0.0,0.0,0.0,0.0,4.0125,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.5,null_categorical,
2026-04-26T03:11:08.638516,145,0.5333,-1.6667,0.0,0.0,0.0,0.0,2.95,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.5,clean,
2026-04-26T03:12:04.062254,150,2.684,-0.4167,0.0,0.0,0.0,0.0,2.3006,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.05,0.0,3,0.958,null_numeric,
2026-04-26T03:12:57.455365,155,3.7475,1.25,0.0,0.0,0.0,0.0,2.7975,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.708,null_numeric,
2026-04-26T03:13:51.762178,160,-0.0852,-1.1111,0.0,0.0,0.0,0.0,1.6308,1,Qwen 2.5 1.5B (speed mode),0.9,0.0,0.0,0.02,3,0.833,clean,
2026-04-26T03:14:46.575040,165,1.6375,0.0,0.0,0.0,0.0,0.0,1.8,1,Qwen 2.5 1.5B (speed mode),0.95,0.0,0.0,0.0075,3,0.708,clean,
2026-04-26T03:15:39.553850,170,1.9833,-0.4167,0.0,0.0,0.0,0.0,2.225,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.417,null_numeric,
2026-04-26T03:16:32.560251,175,5.6875,0.0,0.0,0.0,0.0,0.0,4.0125,1,Qwen 2.5 1.5B (speed mode),0.95,0.0,0.0,0.01,3,0.625,type_error,
2026-04-26T03:17:27.351089,180,1.2833,-0.4167,0.0,0.0,0.0,0.0,2.45,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.05,0.0,3,0.708,clean,
2026-04-26T03:18:20.969136,185,4.1167,1.6667,0.0,0.0,0.0,0.0,2.95,1,Qwen 2.5 1.5B (speed mode),0.95,0.05,0.0,0.01,3,0.708,null_numeric,
2026-04-26T03:19:14.838524,190,4.9375,0.0,0.0,0.0,0.0,0.0,4.4375,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.708,null_categorical,
2026-04-26T03:20:10.347433,195,1.9333,-0.4167,0.0,0.0,0.0,0.0,2.95,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.625,clean,
2026-04-26T03:21:04.239630,200,2.8738,0.0,0.0,0.0,0.0,0.0,1.3487,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.917,clean,
2026-04-26T03:21:59.113196,205,4.9075,0.0,0.0,0.0,0.0,0.0,3.6075,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.667,null_numeric,
2026-04-26T03:22:53.831903,210,4.7,0.0,0.0,0.0,0.0,0.0,4.075,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.5,null_numeric,
2026-04-26T03:23:47.807886,215,2.75,0.0,0.0,0.0,0.0,0.0,2.525,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.625,clean,
2026-04-26T03:24:41.809908,220,2.8083,-0.4167,0.0,0.0,0.0,0.0,2.825,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,1,0.5,null_numeric,
2026-04-26T03:25:35.875033,225,4.95,0.0,0.0,0.0,0.0,0.0,4.45,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.5,null_categorical,
2026-04-26T03:26:29.135436,230,2.4625,0.0,0.0,0.0,0.0,0.0,2.9375,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.667,clean,
2026-04-26T03:27:23.501209,235,2.8042,0.4167,0.0,0.0,0.0,0.0,2.5125,1,Qwen 2.5 1.5B (speed mode),0.9,0.0,0.0,0.02,3,0.542,clean,
2026-04-26T03:28:18.196230,240,1.525,-1.25,0.0,0.0,0.0,0.0,2.95,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.05,0.0,3,0.542,clean,
2026-04-26T03:29:11.739331,245,0.8333,-0.5556,0.0,0.0,0.0,0.0,1.8,1,Qwen 2.5 1.5B (speed mode),0.95,0.0,0.0,0.01,3,0.458,clean,
2026-04-26T03:30:06.883368,250,6.95,0.0,0.0,0.0,0.0,0.0,4.45,1,Qwen 2.5 1.5B (speed mode),0.95,0.05,0.05,0.01,3,0.667,type_error,
2026-04-26T03:30:59.880930,255,4.3542,0.4167,0.0,0.0,0.0,0.0,3.2625,1,Qwen 2.5 1.5B (speed mode),0.95,0.0,0.0,0.01,3,0.583,null_numeric,
2026-04-26T03:31:53.440415,260,6.9375,0.0,0.0,0.0,0.0,0.0,4.4375,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.667,type_error,
2026-04-26T03:32:47.224935,265,1.9458,-0.4167,0.0,0.0,0.0,0.0,2.9375,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.625,clean,
2026-04-26T03:33:41.182036,270,6.8725,0.0,0.0,0.0,0.0,0.0,4.3475,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.75,type_error,
2026-04-26T03:34:34.760916,275,6.95,0.0,0.0,0.0,0.0,0.0,4.45,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.05,0.0,3,0.667,type_error,
2026-04-26T03:35:28.300177,280,1.73,0.0,0.0,0.0,0.0,0.0,2.28,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.833,clean,
2026-04-26T03:36:23.145269,285,2.3083,-0.4167,0.0,0.0,0.0,0.0,2.95,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.05,0.0,3,0.708,clean,
2026-04-26T03:37:15.534495,290,6.7175,0.0,0.0,0.0,0.0,0.0,4.2175,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.05,0.0,3,0.833,type_error,
2026-04-26T03:38:08.697683,295,4.475,0.0,0.0,0.0,0.0,0.0,3.7,1,Qwen 2.5 1.5B (speed mode),1.0,0.0,0.0,0.0,3,0.625,null_numeric,
